Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
ZnO,Ethylene Glycol,1.2,42.9,0.324,1.148,4187,1190,0.00899,1114.989075
Al2O3,Oil,2.96,38.3,1.644,1.462,1462,1651,0.00289,4140.103265
SiO2,Oil,1.2,27.6,2.219,0.877,3346,1428,0.00238,7884.293823
CuO,Water,0.22,66.7,0.637,0.753,932,1183,0.00442,1252.759134
ZnO,Propylene Glycol,4.27,84.2,1.242,1.206,2783,1568,0.00761,1657.912515
Al2O3,Ethylene Glycol,3.28,23,1.782,1.151,1838,1546,0.00522,3033.962584
TiO2,Oil,3.45,42.8,2.45,1.887,878,1691,0.00562,3760.363067
Al2O3,Water,1.06,61.3,2.31,0.624,2103,1743,0.00069,11059.20913
SiO2,Oil,3.55,37.1,2.891,0.612,3599,1583,0.00757,3292.553432
TiO2,Water,4.73,70.4,2.225,1.769,3040,1026,0.00306,2907.686968
TiO2,Water,3.16,25.4,1.23,0.614,3300,1638,0.00593,1985.501816
SiO2,Propylene Glycol,1.47,55.5,1.666,1.947,2610,1400,0.00932,4944.128969
SiO2,Oil,1.49,58.5,2.304,1.02,4207,1817,0.00944,6450.198335
Al2O3,Water,1.29,37.3,1.21,1.35,1769,1172,0.00594,2909.500205
SiO2,Water,0.96,27.8,2.893,1.391,970,1504,0.00543,6161.541961
CuO,Oil,3.34,22.2,1.893,1.027,3613,1164,0.00861,2402.018736
ZnO,Water,3.79,47.7,2.887,1.339,2381,1144,0.00237,4768.498497
ZnO,Water,3.19,84.9,2.684,1.876,3868,1355,0.00553,6726.374375
CuO,Propylene Glycol,0.93,83,2.983,1.408,3680,1787,0.00499,13131.76718
ZnO,Water,2.77,80.5,2.706,1.671,3405,1602,0.00526,7918.331101
TiO2,Water,3.7,20.7,2.714,1.265,4213,1154,0.00838,3407.334773
CuO,Water,0.15,71.2,0.743,1.301,965,1889,0.00735,2430.027889
Al2O3,Oil,2.93,25,0.257,0.808,3174,1408,0.00718,592.6540621
Al2O3,Ethylene Glycol,2.12,76.3,0.297,1.745,1696,1341,0.00263,1386.694211
CuO,Ethylene Glycol,4.44,88.1,2.256,1.591,1259,1633,0.00566,2472.490131
ZnO,Ethylene Glycol,0.38,72.6,0.734,1.048,3331,1544,0.00872,2549.414151
Al2O3,Water,0.9,23.5,1.074,1.833,2931,1098,0.00829,3181.291639
CuO,Ethylene Glycol,4.58,66.2,2.518,1.751,4349,1872,0.00889,4170.003183
TiO2,Oil,0.72,50.9,1.037,0.799,3882,1945,0.00202,6533.931137
CuO,Oil,1.18,56.7,2.802,1.151,945,2006,0.00617,6189.573223
TiO2,Water,1.84,66,1.66,0.807,2444,1329,0.00439,3437.737093
SiO2,Water,0.49,25.1,0.443,1.902,2695,1264,0.00965,1854.774011
SiO2,Ethylene Glycol,0.89,86.7,0.35,1.462,1308,920,0.00129,1620.328933
CuO,Water,3.93,88.4,1.257,1.239,1463,1448,0.00064,3718.356811
ZnO,Ethylene Glycol,4.18,42.8,0.555,0.815,2870,1295,0.00956,562.7378473
CuO,Oil,4.53,76.6,2.327,1.014,3365,1769,0.00087,6374.403312
CuO,Water,1.67,57.8,2.411,1.233,1530,1633,0.00582,5406.523636
CuO,Oil,1.75,31.3,0.445,1.359,1643,1907,0.00231,2337.787371
TiO2,Water,1.97,49.2,2.432,0.882,3466,1842,0.00121,11446.80422
SiO2,Oil,3.73,47.6,1.108,1.642,4185,1984,0.00452,3953.006895
Al2O3,Propylene Glycol,1.73,69.7,1.023,1.088,1408,1975,0.00734,2589.831846
CuO,Propylene Glycol,0.6,38.4,1.976,1.383,831,995,0.00181,4854.361886
CuO,Oil,1.71,90.9,2.673,1.846,2389,1112,0.00689,6105.895502
Al2O3,Propylene Glycol,4.55,20.3,1.3,1.076,1371,991,0.00442,942.8864857
ZnO,Oil,1.21,52.6,2.612,0.695,3997,1190,0.00058,13096.25839
TiO2,Oil,4.94,32.8,1.812,1.175,1513,1273,0.00929,982.1518874
Al2O3,Oil,3.32,59,2.353,0.779,1162,1544,0.00567,2196.132723
ZnO,Propylene Glycol,2.95,76.6,0.335,1.479,3567,1504,0.00585,1207.093345
Al2O3,Propylene Glycol,0.2,48.6,0.243,1.263,4156,1311,0.00298,1858.601048
CuO,Oil,2.1,75.4,0.312,1.453,3389,1091,0.00706,995.4292625
CuO,Ethylene Glycol,3.11,54.1,1.351,0.732,2969,1938,0.00103,5315.08926
SiO2,Water,4.9,43.6,1.71,1.631,870,1362,0.00069,2775.884043
TiO2,Water,4.2,45.9,2.388,1.857,2676,1835,0.00994,3771.350638
TiO2,Water,4.76,57.3,2.52,1.55,2157,1919,0.00204,4934.718326
ZnO,Water,4.18,46.4,0.952,0.766,3329,1300,0.00945,917.8868508
SiO2,Water,2.08,47.8,2.784,1.233,2409,1751,0.00139,12501.68448
Al2O3,Water,3.45,68.7,2.244,1.186,2518,1250,0.00924,2495.838503
ZnO,Ethylene Glycol,2.54,83.2,2.01,1.157,2838,1851,0.00284,7147.05217
ZnO,Ethylene Glycol,2.41,73,0.53,1.345,3913,1103,0.00985,1185.220099
Al2O3,Oil,1.17,83.9,0.879,1.893,928,1084,0.00629,1970.051238
ZnO,Ethylene Glycol,4.4,67.2,1.587,0.849,2518,956,0.00952,925.9623683
ZnO,Water,1.46,37.4,2.885,1.922,4182,2008,0.0017,24826.53855
SiO2,Water,1.94,76.6,0.596,1.666,3583,936,0.00131,3235.238304
CuO,Water,3.4,44.7,0.277,1.642,3012,1377,0.00923,705.5410345
SiO2,Oil,3.09,41.5,0.719,1.664,4392,1093,0.00527,1941.835817
TiO2,Propylene Glycol,2.12,37.2,1.929,1.404,1428,1154,0.00222,4942.359454
CuO,Oil,0.96,48.7,0.756,1.621,2117,1535,0.00611,2888.880114
SiO2,Propylene Glycol,1.31,47.5,0.627,1.119,1028,1757,0.00884,1428.050173
CuO,Oil,0.17,87.5,1.632,1.723,2188,1831,0.0079,6999.492098
ZnO,Propylene Glycol,2.92,45.9,1.668,0.675,1044,1170,0.00728,1275.653675
CuO,Ethylene Glycol,3.27,30.3,0.909,1.024,3219,2008,0.00297,3093.92492
TiO2,Propylene Glycol,1.47,38.4,0.531,1.467,2988,1300,0.00531,1991.728562
SiO2,Water,3.14,37.2,0.939,0.968,3913,908,0.00683,1314.875821
CuO,Ethylene Glycol,1.76,24.9,1.979,0.776,3312,1835,0.00701,4729.621337
CuO,Water,0.85,62,0.525,1.955,3712,1518,0.00143,5855.390401
CuO,Oil,3.44,88.3,2.731,1.021,1161,1780,0.00782,2928.137408
SiO2,Ethylene Glycol,0.59,75.2,2.681,1.759,3064,1877,0.00528,13668.35857
SiO2,Propylene Glycol,3.67,26.6,1.046,0.68,2391,1094,0.00333,1294.994016
CuO,Water,2.76,84.5,2.129,1.266,1349,1310,0.00071,7228.379282
CuO,Oil,0.8,53.8,2.28,1.423,2916,1366,0.00346,9304.369584
TiO2,Ethylene Glycol,3.38,47.1,0.111,1.184,3961,1495,0.0071,368.9222752
ZnO,Ethylene Glycol,2.9,33.4,1.485,1.928,3556,1727,0.00446,5951.7628
ZnO,Water,4.4,24.7,1.502,0.663,3827,1527,0.00369,1898.196375
TiO2,Water,2.64,62.2,1.678,1.245,3357,1234,0.00097,7307.771663
TiO2,Ethylene Glycol,2.99,28.3,1.364,1.961,1298,1691,0.00565,3315.900837
Al2O3,Oil,3.35,69.8,2.18,1.837,3200,1731,0.00054,15772.81338
TiO2,Ethylene Glycol,4.75,79.6,2.618,1.264,1043,1006,0.00081,2826.081223
Al2O3,Ethylene Glycol,2.58,42.9,2.357,1.687,3343,1556,0.00218,10144.85752
TiO2,Ethylene Glycol,3.26,57.6,1.733,1.066,2244,1270,0.00834,2101.203579
TiO2,Oil,1.98,74.4,0.751,1.209,3993,1826,0.00942,2637.787701
SiO2,Ethylene Glycol,2.6,65.4,0.583,1.427,1769,1071,0.00724,1092.388253
CuO,Ethylene Glycol,3.43,37,0.748,0.597,4293,1044,0.00797,780.0488273
SiO2,Oil,1.31,67.4,2.17,1.786,4181,1487,0.00376,10968.40322
SiO2,Oil,1.69,48.5,0.14,0.775,1337,1172,0.0057,304.8237504
SiO2,Water,2.47,44.6,0.626,0.791,4282,1885,0.00177,3062.724445
TiO2,Propylene Glycol,2.07,20.4,2.69,2.004,2068,1712,0.00746,7717.086171
Al2O3,Oil,1.65,65.8,2.467,0.804,4030,1787,0.00302,8882.509456
SiO2,Propylene Glycol,3.62,59,1.013,1.259,3351,1595,0.00867,1892.794625
CuO,Oil,3.53,29.5,0.148,1.375,3538,894,0.00698,319.1169394
ZnO,Oil,2.53,87.2,0.237,0.722,3984,1424,0.00136,1211.583359
TiO2,Propylene Glycol,2.76,34.8,1.764,0.748,3356,1730,0.00321,4454.397219
TiO2,Oil,2.31,40.7,2.768,1.923,2344,1875,0.00223,13579.42986
SiO2,Propylene Glycol,0.95,26,2.502,0.884,3479,1499,0.00593,6985.959708
Al2O3,Water,1.18,42.9,2.908,0.652,2766,1664,0.00253,8356.581662
TiO2,Oil,2.56,27.8,2.872,0.821,893,1261,0.00677,2476.959038
ZnO,Propylene Glycol,2.77,30.1,1.019,0.736,1167,971,0.00901,785.1858297
ZnO,Ethylene Glycol,2.58,62.1,1.47,0.797,2690,1161,0.00508,2247.996584
Al2O3,Water,1.55,77.5,1.344,1.003,2102,1778,0.00701,3435.191765
CuO,Propylene Glycol,4.33,42.5,0.533,1.096,3392,1146,0.00702,641.4520959
ZnO,Ethylene Glycol,2.96,42.1,2.271,1.868,4509,1949,0.00377,10346.80678
Al2O3,Propylene Glycol,4.63,87.6,1.628,0.93,4074,1723,0.007,1939.857755
SiO2,Water,2.42,62.8,2.056,0.903,1467,1406,0.00523,3023.12107
CuO,Ethylene Glycol,3.08,40.6,2.632,1.561,2559,1361,0.00376,6175.330842
Al2O3,Ethylene Glycol,2.25,71.3,0.476,0.696,2808,1762,0.00487,1333.942723
ZnO,Ethylene Glycol,0.23,24.1,0.433,1.033,1205,1689,0.00815,1287.638131
TiO2,Propylene Glycol,3.04,71.7,0.408,1.193,4212,1356,0.00825,1067.751422
SiO2,Ethylene Glycol,2.81,21.3,1.016,0.826,3037,1033,0.00719,1367.268923
Al2O3,Oil,3.94,45.7,2.464,1.334,3986,1181,0.00702,3372.659401
CuO,Propylene Glycol,2.02,33.2,1.582,1.177,3969,1350,0.00424,5068.203172
ZnO,Ethylene Glycol,2.55,47.8,2.835,0.762,2676,2016,0.00711,5262.660479
SiO2,Oil,1.12,47.9,2.45,1.544,2119,983,0.0027,7006.922338
TiO2,Water,4.13,74.8,1.147,1.035,4014,907,0.00082,2780.474869
Al2O3,Water,4.2,75.3,0.954,0.78,2233,1140,0.00332,1044.834273
SiO2,Propylene Glycol,0.87,66.5,2.555,1.838,2126,988,0.00419,7373.300321
SiO2,Propylene Glycol,0.41,44.1,1.234,1.125,1901,1511,0.00864,3254.449089
CuO,Propylene Glycol,3.71,42.3,0.12,1.617,3472,1475,0.00906,363.2325775
TiO2,Oil,3.89,39,1.087,0.754,852,1200,0.00464,800.0595775
ZnO,Water,0.35,47.4,2.809,1.039,1556,1974,0.00286,10862.03975
Al2O3,Water,4.91,51.9,1.799,1.038,3694,968,0.00616,1211.195232
TiO2,Propylene Glycol,4.94,49.7,0.647,1.997,3525,1739,0.00418,1462.470709
SiO2,Water,1.44,36.1,1.271,0.975,1897,1831,0.00135,6295.200785
ZnO,Propylene Glycol,1.57,79,2.638,1.826,4497,1926,0.00679,12368.70996
SiO2,Oil,1.84,77.3,0.395,1.542,3400,1029,0.00152,2349.8903
ZnO,Ethylene Glycol,3.77,40.4,1.25,0.915,3200,929,0.00806,1154.504955
ZnO,Water,0.8,29.4,2.889,0.728,2056,1737,0.0066,6019.964024
Al2O3,Propylene Glycol,3.55,46.3,1.827,1.671,3095,1217,0.00446,3728.256319
Al2O3,Propylene Glycol,3.07,64.9,2.79,1.6,1789,1044,0.0036,4502.247339
ZnO,Propylene Glycol,2.43,56,2.663,1.849,3282,1067,0.00392,7099.780445
CuO,Ethylene Glycol,2.15,60.4,1.823,1.017,3986,1942,0.00983,4889.058071
TiO2,Propylene Glycol,4.51,87.1,1.019,0.662,3822,1826,0.00364,1518.737665
Al2O3,Oil,3.38,79.6,2.854,1.548,4304,1976,0.0034,9586.496995
Al2O3,Ethylene Glycol,0.88,45.6,1.134,0.841,1950,1418,0.0034,3347.085281
Al2O3,Propylene Glycol,1.72,49,1.508,0.658,990,2001,0.00174,3995.615835
SiO2,Propylene Glycol,4.24,75.5,0.452,1.271,1297,1114,0.00797,425.3187127
ZnO,Water,2.6,69.9,2.33,1.361,1611,1637,0.00124,8133.228255
TiO2,Oil,2.32,56.4,2.768,1.584,1878,1511,0.00557,6377.589572
TiO2,Oil,0.32,22.3,1.766,1.28,2432,1203,0.00694,4719.792131
SiO2,Ethylene Glycol,4.6,39,0.415,1.965,3412,1005,0.00835,553.6780816
SiO2,Propylene Glycol,4.4,72.6,1.738,1.518,3284,987,0.00189,3116.753749
TiO2,Oil,4.27,88.3,1.933,1.307,1240,1322,0.00961,1470.887479
TiO2,Oil,4.76,78.5,0.83,1.929,4375,1241,0.00663,1369.136075
Al2O3,Ethylene Glycol,4.16,58.9,1.152,0.683,1113,1101,0.00902,561.3363119
TiO2,Oil,2.6,65.5,1.826,0.862,1675,1200,0.00127,4315.954116
